Godot Engine v4.6.3.stable.mono.official.7d41c59c4 - https://godotengine.org
[TIMING ] wwise_callback=bar  position_beats=35.969  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=35.969  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=35.969  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=36.983  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=36.983  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=37.999  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=37.999  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=38.967  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=38.967  error_ms=1.000
[TIMING ] wwise_callback=bar  position_beats=39.981  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=39.981  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=39.981  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=41.010  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=41.010  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=41.977  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=41.977  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=42.997  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=42.997  error_ms=2.000
[TIMING ] wwise_callback=bar  position_beats=43.968  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=43.968  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=43.968  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=44.982  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=44.982  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=45.998  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=45.998  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=46.964  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=46.964  error_ms=2.000
[TIMING ] wwise_callback=bar  position_beats=47.981  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=47.981  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=47.981  error_ms=1.000
[AUDIO  ] arrangement=layer  enabled=false  requested_at=48.011
[TIMING ] wwise_callback=beat  position_beats=48.994  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=48.994  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=49.978  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=49.978  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=50.992  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=50.992  error_ms=5.000
[TIMING ] wwise_callback=bar  position_beats=52.010  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=52.010  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=52.010  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=52.983  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=52.983  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=53.997  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=53.997  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=54.966  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=54.966  error_ms=4.000
[TIMING ] wwise_callback=bar  position_beats=55.980  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=55.980  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=55.980  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=56.996  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=56.996  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=57.962  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=57.962  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=58.978  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=58.978  error_ms=0.000
[TIMING ] wwise_callback=bar  position_beats=60.005  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=60.005  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=60.005  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=60.978  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=60.978  error_ms=6.000
