elapsed_ms,record_type,kind,index,position_beats,callback_position_ms,sampled_position_ms,error_ms,value
58.626,callback,sync_point,0,0.010833,0.000,5.000,5.000,
58.775,callback,sync_point,0,0.010833,0.000,5.000,5.000,
58.973,callback,entry,0,0.010833,0.000,5.000,5.000,
59.201,callback,bar,0,0.010833,0.000,5.000,5.000,
59.293,callback,beat,0,0.010833,0.000,5.000,5.000,
59.375,callback,grid,0,0.010833,0.000,5.000,5.000,
162.091,boundary,quarter,0,0.251332,,,,0.25
203.453,position_regression,continuous,0,0.322831,,,-9.882,accepted=false
286.302,boundary,half,0,0.515663,,,,
375.995,position_regression,continuous,0,0.699828,,,-8.925,accepted=false
403.586,boundary,quarter,0,0.762661,,,,0.75
493.310,callback,beat,1,0.970660,448.000,448.000,0.000,
493.489,callback,grid,1,0.970660,448.000,448.000,0.000,
507.120,boundary,beat,1,1.000993,,,,
527.752,position_regression,continuous,0,1.026993,,,-8.897,accepted=false
624.524,boundary,quarter,1,1.250158,,,,0.25
700.422,position_regression,continuous,0,1.399657,,,-9.945,accepted=false
748.677,boundary,half,1,1.514490,,,,
845.173,position_regression,continuous,0,1.713821,,,-8.872,accepted=false
865.995,boundary,quarter,1,1.763654,,,,0.75
969.399,callback,beat,2,1.999820,917.000,923.000,6.000,
969.507,callback,grid,2,1.999820,917.000,923.000,6.000,
976.283,boundary,beat,2,2.014986,,,,
1017.712,position_regression,continuous,0,2.090819,,,-8.958,accepted=false
1093.631,boundary,quarter,2,2.266318,,,,0.25
1162.581,position_regression,continuous,0,2.402817,,,-8.813,accepted=false
1210.898,boundary,half,2,2.513316,,,,
1314.423,boundary,quarter,2,2.751648,,,,0.75
1335.197,position_regression,continuous,0,2.777647,,,-8.984,accepted=false
1413.235,callback,beat,3,2.957480,1365.000,1365.000,0.000,
1413.430,callback,grid,3,2.957480,1365.000,1365.000,0.000,
1436.235,boundary,beat,3,3.007313,,,,
1489.048,position_regression,continuous,0,3.109145,,,-8.878,accepted=false
1551.186,boundary,quarter,3,3.252144,,,,0.25
1654.666,position_regression,continuous,0,3.470976,,,-8.897,accepted=false
1675.383,boundary,half,3,3.516476,,,,
1778.872,boundary,quarter,3,3.756974,,,,0.75
1806.444,position_regression,continuous,0,3.795974,,,-9.846,accepted=false
1889.311,callback,bar,4,3.988806,1835.000,1841.000,6.000,
1889.436,callback,beat,4,3.988806,1835.000,1841.000,6.000,
1889.514,callback,grid,4,3.988806,1835.000,1841.000,6.000,
1896.205,boundary,beat,4,4.003972,,,,
1978.970,position_regression,continuous,0,4.172971,,,-8.912,accepted=false
2013.505,boundary,quarter,4,4.253137,,,,0.25
2123.877,position_regression,continuous,0,4.484969,,,-8.904,accepted=false
2130.870,boundary,half,4,4.500136,,,,
2241.220,boundary,quarter,4,4.753634,,,,0.75
2296.376,position_regression,continuous,0,4.859800,,,-8.898,accepted=false
2358.532,boundary,beat,5,5.002799,,,,
2358.590,callback,beat,5,5.002799,2304.000,2309.000,5.000,
2359.200,callback,grid,5,5.002799,2304.000,2309.000,5.000,
2448.157,position_regression,continuous,0,5.186964,,,-8.859,accepted=false
2475.833,boundary,quarter,5,5.251964,,,,0.25
2586.226,boundary,half,5,5.507629,,,,
2613.764,position_regression,continuous,0,5.548795,,,-8.913,accepted=false
2703.482,boundary,quarter,5,5.752460,,,,0.75
2766.352,position_regression,continuous,0,5.875959,,,-9.647,accepted=false
2806.982,callback,beat,6,5.971292,2752.000,2756.000,4.000,
2807.101,callback,grid,6,5.971292,2752.000,2756.000,4.000,
2820.787,boundary,beat,6,6.001625,,,,
3223.239,boundary,quarter,6,6.887786,,,,0.25
3223.280,boundary,half,6,6.887786,,,,
3223.310,boundary,quarter,6,6.887786,,,,0.75
3275.554,callback,beat,7,6.983118,3221.000,3223.000,2.000,
3275.733,callback,grid,7,6.983118,3221.000,3223.000,2.000,
3284.832,boundary,beat,7,7.004785,,,,
3395.985,boundary,quarter,7,7.260450,,,,0.25
3403.460,position_regression,continuous,0,7.256116,,,-9.505,accepted=false
3512.733,boundary,half,7,7.509615,,,,
3575.327,position_regression,continuous,0,7.630947,,,-9.384,accepted=false
3663.953,boundary,quarter,7,7.828113,,,,0.75
3752.383,boundary,beat,8,8.007945,,,,
3752.437,callback,bar,8,8.007945,3691.000,3696.000,5.000,
3752.842,callback,beat,8,8.007945,3691.000,3696.000,5.000,
3753.462,callback,grid,8,8.007945,3691.000,3696.000,5.000,
3854.489,boundary,quarter,8,8.250610,,,,0.25
3895.875,position_regression,continuous,0,8.326442,,,-8.889,accepted=false
3974.911,boundary,half,8,8.508441,,,,
4096.067,boundary,quarter,8,8.764106,,,,0.75
4231.798,boundary,beat,9,9.054437,,,,
4231.852,callback,beat,9,9.054437,4139.000,4179.000,40.000,
4231.976,callback,grid,9,9.054437,4139.000,4179.000,40.000,
4317.447,boundary,quarter,9,9.253769,,,,0.25
4365.697,position_regression,continuous,0,9.340435,,,-9.881,accepted=false
4441.638,boundary,half,9,9.511601,,,,
4538.195,position_regression,continuous,0,9.717433,,,-8.875,accepted=false
4558.930,boundary,quarter,9,9.765099,,,,0.75
4660.428,callback,beat,10,9.999098,4608.000,4615.000,7.000,
4660.743,callback,grid,10,9.999098,4608.000,4615.000,7.000,
4665.598,boundary,beat,10,10.012097,,,,
4784.664,boundary,quarter,10,10.263429,,,,0.25
4853.583,position_regression,continuous,0,10.402095,,,-8.848,accepted=false
4901.956,boundary,half,10,10.512594,,,,
5005.366,position_regression,continuous,0,10.727092,,,-8.615,accepted=false
5019.436,boundary,quarter,10,10.757426,,,,0.75
5110.083,callback,beat,11,10.969757,5056.000,5063.000,7.000,
5110.344,callback,grid,11,10.969757,5056.000,5063.000,7.000,
5126.901,boundary,beat,11,11.008757,,,,
5177.867,position_regression,continuous,0,11.104090,,,-8.507,accepted=false
5246.868,boundary,quarter,11,11.262255,,,,0.25
5322.807,position_regression,continuous,0,11.416088,,,-8.863,accepted=false
5365.836,boundary,half,11,11.515754,,,,
5467.773,boundary,quarter,11,11.751919,,,,0.75
5495.292,position_regression,continuous,0,11.790918,,,-8.923,accepted=false
5578.081,callback,bar,12,11.981584,5525.000,5530.000,5.000,
5578.256,callback,beat,12,11.981584,5525.000,5530.000,5.000,
5578.423,callback,grid,12,11.981584,5525.000,5530.000,5.000,
5591.886,boundary,beat,12,12.011917,,,,
5647.076,position_regression,continuous,0,12.118083,,,-8.905,accepted=false
5709.163,boundary,quarter,12,12.261082,,,,0.25
5812.689,position_regression,continuous,0,12.479914,,,-8.937,accepted=false
5826.495,boundary,half,12,12.508080,,,,
5931.437,boundary,quarter,12,12.750745,,,,0.75
5964.552,position_regression,continuous,0,12.807078,,,-8.971,accepted=false
6047.315,callback,beat,13,12.997743,5995.000,5999.000,4.000,
6047.447,callback,grid,13,12.997743,5995.000,5999.000,4.000,
6054.189,boundary,beat,13,13.012910,,,,
6137.560,position_regression,continuous,0,13.181909,,,-9.493,accepted=false
6171.532,boundary,quarter,13,13.257742,,,,0.25
6281.913,boundary,half,13,13.513407,,,,
6288.753,position_regression,continuous,0,13.509073,,,-8.859,accepted=false
6399.566,boundary,quarter,13,13.764738,,,,0.75
6454.379,position_regression,continuous,0,13.868737,,,-8.907,accepted=false
6495.799,callback,beat,14,13.966237,6443.000,6446.000,3.000,
6495.950,callback,grid,14,13.966237,6443.000,6446.000,3.000,
6516.555,boundary,beat,14,14.011736,,,,
6606.175,position_regression,continuous,0,14.195902,,,-8.849,accepted=false
6633.777,boundary,quarter,14,14.260901,,,,0.25
6744.182,boundary,half,14,14.516566,,,,
6778.690,position_regression,continuous,0,14.572899,,,-8.911,accepted=false
6861.521,boundary,quarter,14,14.761398,,,,0.75
6923.574,position_regression,continuous,0,14.884897,,,-8.834,accepted=false
6965.154,callback,beat,15,14.980230,6912.000,6914.000,2.000,
6965.970,callback,grid,15,14.980230,6912.000,6914.000,2.000,
6978.785,boundary,beat,15,15.010563,,,,
7089.220,boundary,quarter,15,15.264061,,,,0.25
7096.078,position_regression,continuous,0,15.259728,,,-8.889,accepted=false
7199.648,boundary,half,15,15.500226,,,,
7247.965,position_regression,continuous,0,15.586892,,,-8.984,accepted=false
7323.817,boundary,quarter,15,15.764558,,,,0.75
7413.506,position_regression,continuous,0,15.946556,,,-9.934,accepted=false
7434.234,callback,bar,16,15.994223,7381.000,7382.000,1.000,
7434.478,callback,beat,16,15.994223,7381.000,7382.000,1.000,
7434.645,callback,grid,16,15.994223,7381.000,7382.000,1.000,
7441.144,boundary,beat,16,16.009389,,,,
7441.345,arrangement,layer,1,16.009389,,,,true
7551.482,boundary,quarter,16,16.262888,,,,0.25
7565.293,position_regression,continuous,0,16.273721,,,-8.838,accepted=false
7668.928,boundary,half,16,16.514219,,,,
7737.734,position_regression,continuous,0,16.650718,,,-8.860,accepted=false
7786.069,boundary,quarter,16,16.761217,,,,0.75
7882.653,position_regression,continuous,0,16.962716,,,-8.896,accepted=false
7882.722,callback,beat,17,16.967049,7829.000,7829.000,0.000,
7882.860,callback,grid,17,16.967049,7829.000,7829.000,0.000,
7903.406,boundary,beat,17,17.010382,,,,
8013.779,boundary,quarter,17,17.263881,,,,0.25
8055.180,position_regression,continuous,0,17.337547,,,-8.931,accepted=false
8131.108,boundary,half,17,17.510879,,,,
8206.973,position_regression,continuous,0,17.664711,,,-8.880,accepted=false
8248.464,boundary,quarter,17,17.760044,,,,0.75
8345.202,callback,beat,18,17.985376,8299.000,8301.000,2.000,
8345.359,callback,grid,18,17.985376,8299.000,8301.000,2.000,
8351.942,boundary,beat,18,18.000542,,,,
8379.473,position_regression,continuous,0,18.039542,,,-9.882,accepted=false
8476.090,boundary,quarter,18,18.264874,,,,0.25
8524.355,position_regression,continuous,0,18.351540,,,-8.870,accepted=false
8593.422,boundary,half,18,18.509705,,,,
8696.837,position_regression,continuous,0,18.728537,,,-8.867,accepted=false
8710.683,boundary,quarter,18,18.758870,,,,0.75
8814.250,callback,beat,19,18.999369,8768.000,8769.000,1.000,
8814.406,callback,grid,19,18.999369,8768.000,8769.000,1.000,
8821.056,boundary,beat,19,19.014535,,,,
8848.677,position_regression,continuous,0,19.055702,,,-8.917,accepted=false
8938.402,boundary,quarter,19,19.261533,,,,0.25
9014.291,position_regression,continuous,0,19.415366,,,-8.938,accepted=false
9055.902,boundary,half,19,19.512865,,,,
9166.081,position_regression,continuous,0,19.742530,,,-8.910,accepted=false
9172.963,boundary,quarter,19,19.757697,,,,0.75
9262.760,callback,bar,20,19.967862,9216.000,9216.000,0.000,
9262.923,callback,beat,20,19.967862,9216.000,9216.000,0.000,
9263.360,callback,grid,20,19.967862,9216.000,9216.000,0.000,
9283.414,boundary,beat,20,20.013362,,,,
9338.593,position_regression,continuous,0,20.119528,,,-8.922,accepted=false
9400.713,boundary,quarter,20,20.262527,,,,0.25
9483.472,position_regression,continuous,0,20.429359,,,-9.905,accepted=false
9517.963,boundary,half,20,20.509525,,,,
9628.435,boundary,quarter,20,20.765190,,,,0.75
9738.793,callback,beat,21,20.997021,9685.000,9691.000,6.000,
9738.981,callback,grid,21,20.997021,9685.000,9691.000,6.000,
