Godot Engine v4.6.3.stable.mono.official.7d41c59c4 - https://godotengine.org
[TIMING ] wwise_callback=bar  position_beats=35.960  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=35.960  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=35.960  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=36.989  error_ms=6.000
[TIMING ] wwise_callback=grid  position_beats=36.989  error_ms=6.000
[TIMING ] wwise_callback=beat  position_beats=38.005  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=38.005  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=38.974  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=38.974  error_ms=4.000
[TIMING ] wwise_callback=bar  position_beats=39.988  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=39.988  error_ms=3.000
[TIMING ] wwise_callback=grid  position_beats=39.988  error_ms=3.000
[TIMING ] wwise_callback=beat  position_beats=41.002  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=41.002  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=41.968  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=41.968  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=42.989  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=42.989  error_ms=0.000
[TIMING ] wwise_callback=bar  position_beats=43.959  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=43.959  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=43.959  error_ms=1.000
[TIMING ] wwise_callback=beat  position_beats=44.973  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=44.973  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=45.989  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=45.989  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=46.971  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=46.971  error_ms=5.000
[TIMING ] wwise_callback=bar  position_beats=47.987  error_ms=4.000
[TIMING ] wwise_callback=beat  position_beats=47.987  error_ms=4.000
[TIMING ] wwise_callback=grid  position_beats=47.987  error_ms=4.000
[AUDIO  ] arrangement=layer  enabled=false  requested_at=48.002
[TIMING ] wwise_callback=beat  position_beats=49.005  error_ms=5.000
[TIMING ] wwise_callback=grid  position_beats=49.005  error_ms=5.000
[TIMING ] wwise_callback=beat  position_beats=49.969  error_ms=2.000
[TIMING ] wwise_callback=grid  position_beats=49.969  error_ms=2.000
[TIMING ] wwise_callback=beat  position_beats=50.983  error_ms=1.000
[TIMING ] wwise_callback=grid  position_beats=50.983  error_ms=1.000
[TIMING ] wwise_callback=bar  position_beats=52.002  error_ms=0.000
[TIMING ] wwise_callback=beat  position_beats=52.002  error_ms=0.000
[TIMING ] wwise_callback=grid  position_beats=52.002  error_ms=0.000
