elapsed_ms,record_type,kind,index,position_beats,callback_position_ms,sampled_position_ms,error_ms,value
50.477,callback,sync_point,0,0.002167,0.000,1.000,1.000,
51.252,callback,sync_point,0,0.002167,0.000,1.000,1.000,
51.694,callback,entry,0,0.002167,0.000,1.000,1.000,
51.809,callback,bar,0,0.002167,0.000,1.000,1.000,
51.920,callback,beat,0,0.002167,0.000,1.000,1.000,
52.038,callback,grid,0,0.002167,0.000,1.000,1.000,
162.953,boundary,quarter,0,0.259998,,,,0.25
281.691,boundary,half,0,0.513496,,,,
400.559,boundary,quarter,0,0.762661,,,,0.75
494.294,callback,beat,1,0.981493,448.000,453.000,5.000,
495.664,callback,grid,1,0.981493,448.000,453.000,5.000,
506.772,boundary,beat,1,1.007493,,,,
625.533,boundary,quarter,1,1.260991,,,,0.25
744.297,boundary,half,1,1.512323,,,,
863.135,boundary,quarter,1,1.763654,,,,0.75
963.118,callback,beat,2,1.993320,917.000,920.000,3.000,
963.325,callback,grid,2,1.993320,917.000,920.000,3.000,
969.372,boundary,beat,2,2.008486,,,,
1088.123,boundary,quarter,2,2.257651,,,,0.25
1206.939,boundary,half,2,2.511149,,,,
1313.236,boundary,quarter,2,2.755981,,,,0.75
1413.272,callback,beat,3,2.963980,1365.000,1368.000,3.000,
1413.482,callback,grid,3,2.963980,1365.000,1368.000,3.000,
1431.984,boundary,beat,3,3.009479,,,,
1550.783,boundary,quarter,3,3.258644,,,,0.25
1669.547,boundary,half,3,3.512142,,,,
1775.830,boundary,quarter,3,3.756974,,,,0.75
1882.100,callback,bar,4,3.980139,1835.000,1837.000,2.000,
1882.301,callback,beat,4,3.980139,1835.000,1837.000,2.000,
1882.505,callback,grid,4,3.980139,1835.000,1837.000,2.000,
1894.613,boundary,beat,4,4.008306,,,,
2013.587,boundary,quarter,4,4.261804,,,,0.25
2132.149,boundary,half,4,4.508802,,,,
2238.459,boundary,quarter,4,4.755800,,,,0.75
2351.001,callback,beat,5,4.994132,2304.000,2305.000,1.000,
2351.232,callback,grid,5,4.994132,2304.000,2305.000,1.000,
2357.496,boundary,beat,5,5.009299,,,,
2475.983,boundary,quarter,5,5.258464,,,,0.25
2582.251,boundary,half,5,5.507629,,,,
2701.045,boundary,quarter,5,5.754627,,,,0.75
2801.106,callback,beat,6,5.964792,2752.000,2753.000,1.000,
2802.845,callback,grid,6,5.964792,2752.000,2753.000,1.000,
2819.874,boundary,beat,6,6.008125,,,,
2926.129,boundary,quarter,6,6.250790,,,,0.25
3044.938,boundary,half,6,6.504288,,,,
3163.671,boundary,quarter,6,6.757787,,,,0.75
3269.961,callback,beat,7,6.978785,3221.000,3221.000,0.000,
3271.167,callback,grid,7,6.978785,3221.000,3221.000,0.000,
3282.435,boundary,beat,7,7.006952,,,,
3388.737,boundary,quarter,7,7.251783,,,,0.25
3507.472,boundary,half,7,7.505281,,,,
3626.545,boundary,quarter,7,7.754446,,,,0.75
3745.024,boundary,beat,8,8.007945,,,,
3745.061,callback,bar,8,8.007945,3691.000,3696.000,5.000,
3745.193,callback,beat,8,8.007945,3691.000,3696.000,5.000,
3745.286,callback,grid,8,8.007945,3691.000,3696.000,5.000,
3851.322,boundary,quarter,8,8.252776,,,,0.25
3970.077,boundary,half,8,8.504108,,,,
4088.919,boundary,quarter,8,8.755439,,,,0.75
4182.654,callback,beat,9,8.974271,4139.000,4142.000,3.000,
4182.868,callback,grid,9,8.974271,4139.000,4142.000,3.000,
4195.277,boundary,beat,9,9.000271,,,,
4314.013,boundary,quarter,9,9.253769,,,,0.25
4432.706,boundary,half,9,9.502934,,,,
4551.493,boundary,quarter,9,9.756433,,,,0.75
4651.576,callback,beat,10,9.988264,4608.000,4610.000,2.000,
4651.741,callback,grid,10,9.988264,4608.000,4610.000,2.000,
4657.800,boundary,beat,10,10.001264,,,,
4776.504,boundary,quarter,10,10.252596,,,,0.25
4895.420,boundary,half,10,10.506094,,,,
5014.128,boundary,quarter,10,10.753092,,,,0.75
5101.681,callback,beat,11,10.958924,5056.000,5058.000,2.000,
5101.856,callback,grid,11,10.958924,5056.000,5058.000,2.000,
5120.452,boundary,beat,11,11.002257,,,,
5239.185,boundary,quarter,11,11.251422,,,,0.25
5358.033,boundary,half,11,11.502754,,,,
5464.291,boundary,quarter,11,11.751919,,,,0.75
5570.505,callback,bar,12,11.972917,5525.000,5526.000,1.000,
5570.709,callback,beat,12,11.972917,5525.000,5526.000,1.000,
5570.853,callback,grid,12,11.972917,5525.000,5526.000,1.000,
5589.292,boundary,beat,12,12.018417,,,,
5701.775,boundary,quarter,12,12.252415,,,,0.25
5820.608,boundary,half,12,12.503747,,,,
5933.157,boundary,quarter,12,12.763745,,,,0.75
6039.391,callback,beat,13,12.989077,5995.000,5995.000,0.000,
6039.601,callback,grid,13,12.989077,5995.000,5995.000,0.000,
6045.634,boundary,beat,13,13.002077,,,,
